Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
NUE Life Health,https://www.crunchbase.com/organization/nue-life-health,"Alternative Medicine, Health Care, Personal Health, Wellness","Miami, Florida, United States",NUE Life Health is a mental wellness startup leveraging evidence-based mental health treatments and products to catalyze healing and growth.,747,5,23000000,USD,23000000,26300000,USD,26300000
MindMed,https://www.crunchbase.com/organization/mindmed,"Biotechnology, Health Care, Pharmaceutical","New York, New York, United States",MindMed is a psychedelic biotech company developing medicines and therapies to address addiction and mental illness.,"3,561",8,15400000,USD,15400000,175819263,USD,175819263
COMPASS Pathways,https://www.crunchbase.com/organization/compass-pathways,"Biotechnology, Health Care, Life Science, Personal Health, Wellness","Altrincham, Cheshire, United Kingdom",Compass Pathways is a mental health care company dedicated to accelerating patient access to evidence-based innovation in mental health.,"5,275",4,80000000,USD,80000000,116209674,USD,116209674
GH Research,https://www.crunchbase.com/organization/gh-research,"Biopharma, Biotechnology, Pharmaceutical","Dublin, Dublin, Ireland",GH Research is a biopharmaceutical company developing novel therapies for the management of mental illness.,"15,021",1,125000000,USD,125000000,125000000,USD,125000000
Pasithea Therapeutics,https://www.crunchbase.com/organization/pasithea-therapeutics,"Biotechnology, Health Care, Therapeutics","Venice, California, United States",Pasithea Therapeutics is a biotechnology company that seeks to solve clinical problems such as mental health.,"21,369",2,30400000,USD,30400000,30650000,USD,30650000
WeSana Health,https://www.crunchbase.com/organization/wesana-health,"Alternative Medicine, Health Care, Therapeutics","Homer Glen, Illinois, United States",WeSana Health is a life sciences company that provides advancement of psilocybin-based medicine.,"21,580",2,16100000,CAD,12813472,16813472,USD,16813472
Bright Minds Biosciences,https://www.crunchbase.com/organization/bright-minds-biosciences,"Biotechnology, Health Care, Medical","Vancouver, British Columbia, Canada",Bright Minds Biosciences is a biotech company that engages in the development of serotonergic therapeutics to treat mental health disorders.,"38,166",1,680470,USD,680470,680470,USD,680470
Orthogonal Thinker,https://www.crunchbase.com/organization/orthogonal-thinker,"Biotechnology, Business Development","Kihei, Hawaii, United States",Orthogonal Thinker is a biotech holding and operating company that acquires and accelerates companies.,"44,714",2,6000000,USD,6000000,6000000,USD,6000000
Tryp Therapeutics,https://www.crunchbase.com/organization/tryp-therapeutics,Biotechnology,"Kelowna, British Columbia, Canada",Tryp Identifying and developing clinical-stage compounds for orphan diseases and other diseases with high unmet medical needs.,"48,891",2,6000000,USD,6000000,7567024,USD,7567024
MagicMed Industries,https://www.crunchbase.com/organization/magicmed-industries,"Biotechnology, Pharmaceutical","Calgary, Alberta, Canada",MagicMed Industries is a privately-held biotechnology company focused on creating a library of novel derivative psychedelic molecules.,"58,980",1,8100000,USD,8100000,8100000,USD,8100000
Bexson Biomedical,https://www.crunchbase.com/organization/bexson-biomedical,"Health Care, Pharmaceutical","Santa Barbara, California, United States",Bexson Biomedical is developing a unique formulation of ketamine for chronic and acute pain disorders.,"60,201",1,4800000,USD,4800000,4800000,USD,4800000
Reset Pharmaceuticals,https://www.crunchbase.com/organization/reset-pharmaceuticals,"Biotechnology, Health Care, Medical",,Reset Pharma is a biotechnology company that focuses on the development and commercialization of novel psychedelic treatments.,"63,737",1,11115105,USD,11115105,11115105,USD,11115105
Delic Corp,https://www.crunchbase.com/organization/delic-corp,"Medical, Medical Device","Mesa, Arizona, United States","Delic Corp is the psychedelic wellness corporation committed to bringing safe, legal and science-backed benefits to all.","64,667",1,7000000,USD,7000000,7000000,USD,7000000
Medical Device Innovation Consortium,https://www.crunchbase.com/organization/medical-device-innovation-consortium,"Biotechnology, Medical Device","Arlington, Virginia, United States",MDIC is a public-private partnership created with the sole objective of advancing medical device regulatory science for patient benefit.,"72,692",1,2800000,USD,2800000,2800000,USD,2800000
TC MSO,https://www.crunchbase.com/organization/tc-mso,"Health Care, Therapeutics, Wellness","Princeton, New Jersey, United States","TC MSO introduces Actify Neurotherapies, offering Ketamine infusion therapy.","88,616",2,5000000,USD,5000000,7000000,USD,7000000
Wuhan General Group,https://www.crunchbase.com/organization/wuhan-general-group,"Biotechnology, Cannabis, Health Care, Medical","Cape Town, NA - South Africa, South Africa",Nutraceutical biotechnology company focused on alternative plant-based cannabinoids and psilocybin medical research,"93,718",1,450000,USD,450000,450000,USD,450000
Apex Labs,https://www.crunchbase.com/organization/apex-labs-4bdc,Pharmaceutical,"Vancouver, British Columbia, Canada",Apex Labs is a socially focused pharmaceutical company.,"95,342",1,4000000,USD,4000000,4000000,USD,4000000
Heading Health,https://www.crunchbase.com/organization/heading-health,"Health Care, Personal Health, Wellness","Austin, Texas, United States",Heading Health is a technology-enabled mental health platform improving access to high-quality and affordable care.,"123,565",2,,,,,,
Psykosoft,https://www.crunchbase.com/organization/psykosoft,"Cloud Computing, Finance, Search Engine, Software, Video Streaming, Web Development","London, England, United Kingdom",Psykopaint is software enabling users to create paintings with no skills.,"140,569",3,500000,USD,500000,618000,USD,618000
Neighborhood Psychiatry & Wellness,https://www.crunchbase.com/organization/neighborhood-psychiatry-wellness,"Health Care, Psychology","New York, New York, United States","Wellness-Oriented Mental Healthcare, Hybrid Telemedicine and In-Person","154,470",1,,,,,,
Ketamine Wellness Centers,https://www.crunchbase.com/organization/ketamine-wellness-centers,"Health Care, Medical, Medical Device","Mesa, Arizona, United States","Ketamine Wellness Center’s mission is to provide personalized, compassionate, high-quality care for people suffering from afflictions.","194,027",,,,,,,
MycroDose Therapeutics,https://www.crunchbase.com/organization/mycrodose-therapeutics,"Health Care, Pharmaceutical","San Diego, California, United States",Mycrodose Therapeutics is a pharmaceutical company specialized in the development of advanced drug delivery (ADD) systems,"195,107",1,,,,,,
AJNA BioSciences,https://www.crunchbase.com/organization/ajna-biosciences,"Biotechnology, Medical, Pharmaceutical","Littleton, Colorado, United States",AJNA BioSciences is a botanical drug development company focused on psilocybin and other naturally derived psychedelics.,"208,645",,,,,,,
DrinkSavvy,https://www.crunchbase.com/organization/drinksavvy,"Consumer Goods, Manufacturing, Plastics and Rubber Manufacturing","Boston, Massachusetts, United States","DrinkSavvy is a Boston-based company that manufactures and distributes drinkware such as plastic cups, straws, and stirrers.","222,396",1,,,,,,
Wellbeing Digital Sciences,https://www.crunchbase.com/organization/ketamine-one,Health Care,"Vancouver, British Columbia, Canada",A wellness company focusing on psychedelic medicines and ketamine-assisted therapies to treat mental illnesses.,"241,083",,,,,,,
MDMA The Movie,https://www.crunchbase.com/organization/mdma-the-movie,"Film, Film Production, Health Care","Grass Valley, California, United States","MDMA The Movie is the first comprehensive feature-length documentary telling the story of MDMA, the drug also known as Ecstasy or Molly.","242,977",1,25000,USD,25000,25000,USD,25000
Javelin Pharmaceuticals,https://www.crunchbase.com/organization/javelin-pharmaceuticals,"Biotechnology, Developer Platform, Pharmaceutical","Cambridge, Massachusetts, United States","Javelin Pharmaceuticals, Inc., a specialty pharmaceutical company, engages in the research, development, and commercialization of products","257,891",2,750000,USD,750000,32750000,USD,32750000
