Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
NUE Life Health,https://www.crunchbase.com/organization/nue-life-health,"Alternative Medicine, Health Care, Personal Health, Wellness","Miami, Florida, United States",NUE Life Health is a mental wellness startup leveraging evidence-based mental health treatments and products to catalyze healing and growth.,747,5,23000000,USD,23000000,26300000,USD,26300000
Think Research,https://www.crunchbase.com/organization/think-research,"Alternative Medicine, Health Care, Medical","Toronto, Ontario, Canada",Think Research offers knowledge-based tools and leading clinical content for clinicians at the point of care.,"2,362",6,10000000,USD,10000000,78045160,USD,78045160
Numinus,https://www.crunchbase.com/organization/numinus,"Alternative Medicine, Health Care, Therapeutics, Wellness","Vancouver, British Columbia, Canada",Numinus utilizes psychedelic-assisted psychotherapy methods to bring holistic healthcare to patients.,"4,545",2,17300000,USD,17300000,20787483,USD,20787483
Field Trip Health,https://www.crunchbase.com/organization/field-trip-health-inc,"Alternative Medicine, Health Care, Therapeutics, Wellness","Toronto, Ontario, Canada","Field Trip Health, Inc. providing simple, evidence-based therapies for healing and heightening engagement with the world.","4,605",3,95000000,CAD,76682474,96182474,USD,96182474
Scipher Medicine,https://www.crunchbase.com/organization/scipher-medicine,"Alternative Medicine, Biotechnology, Genetics, Health Care, Health Diagnostics","Waltham, Massachusetts, United States",Scipher Medicine develops a healthcare platform designed to determine which drug will work best for each patient.,"5,586",6,110000000,USD,110000000,227000000,USD,227000000
Nimbus Therapeutics,https://www.crunchbase.com/organization/nimbus-discovery,"Alternative Medicine, Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Nimbus Discovery is now Nimbus Therapeutics to reflect our transition into a clinical stage company.,"5,618",7,105000000,USD,105000000,302000000,USD,302000000
Sasta Sundar,https://www.crunchbase.com/organization/sasta-sundar,"Alternative Medicine, Baby, Beauty, Food and Beverage, Health Care, Online Portals, Pharmaceutical, Wellness","Kolkata, West Bengal, India",Buy Genuine prescription medicine online & save big with free home delivery. India's fastest growing & most trusted Online Pharmacy.,"7,719",1,5000000,USD,5000000,5000000,USD,5000000
Hound Labs,https://www.crunchbase.com/organization/hound-labs,"Alternative Medicine, Biotechnology, Health Care, Medical Device","Oakland, California, United States",Hound Labs is a breath technology company that has developed ultra-sensitive technology for non-invasive breath measurement.,"9,380",5,37007503,USD,37007503,130107503,USD,130107503
Patanjali Ayurved,https://www.crunchbase.com/organization/patanjali-ayurved,"Alternative Medicine, E-Commerce, Food and Beverage, Food Processing, Manufacturing","Haridwar, Uttarakhand, India",Patanjali Ayurved Ltd is not a company. It is a concept that links the rising destiny of millions of rural masses.,"9,582",1,32000000000,INR,445968169,32000000000,INR,445968169
Stemcentrx,https://www.crunchbase.com/organization/stem-centrx,"Alternative Medicine, Biotechnology, Health Diagnostics, Pharmaceutical, Therapeutics","South San Francisco, California, United States",Stemcentrx provides pharmaceutical services.,"10,185",4,250000000,USD,250000000,515526990,USD,515526990
Praxis Precision Medicines,https://www.crunchbase.com/organization/praxis-precision-medicines,"Alternative Medicine, Biotechnology, Health Care, Medical","Cambridge, Massachusetts, United States",Praxis Precision Medicines offers drug development services.,"10,212",4,91250000,USD,91250000,223117750,USD,223117750
Aura Health,https://www.crunchbase.com/organization/aura-health,"Alternative Medicine, Consumer, Content Discovery, Health Care, Mobile Apps, Personal Health, Wellness","San Francisco, California, United States",Aura is a digital wellness ecosystem that provides personalized content & community from therapists & coaches around the world,"12,465",4,1200000,USD,1200000,3900000,USD,3900000
Homology Medicines,https://www.crunchbase.com/organization/homology-medicines,"Alternative Medicine, Biotechnology, Genetics, Health Care","Lexington, Massachusetts, United States",Homology Medicines is a genetic medicines company dedicated to transforming the lives of patients suffering from rare genetic diseases.,"14,097",3,60000000,USD,60000000,187000000,USD,187000000
Onconano Medicine,https://www.crunchbase.com/organization/onconano-medicine,"Alternative Medicine, Biotechnology, Health Care, Nanotechnology","Southlake, Texas, United States",OncoNano Medicine is a biotech company that  develops pH-activated compounds that digitalize and exploit the variability of pH in disease.,"15,767",6,18400000,USD,18400000,119728526,USD,119728526
Traditional Medicinals,https://www.crunchbase.com/organization/traditional-medicinals-2,"Alternative Medicine, Manufacturing, Sustainability","Sebastopol, California, United States","Traditional Medicinals is committed to using high quality pharmacopoeial grade herbs and embracing ingredient purity, sustainability.","18,187",2,30000000,USD,30000000,34200000,USD,34200000
ReviR Therapeutics,https://www.crunchbase.com/organization/revir-therapeutics,"Alternative Medicine, Biotechnology, Genetics","San Francisco, California, United States",ReviR Therapeutics is a genomics-based platform that develops novel medicines targeting human RNAs.,"19,848",1,20000000,USD,20000000,20000000,USD,20000000
1E Therapeutics,https://www.crunchbase.com/organization/1e-therapeutics,"Alternative Medicine, Medical, Therapeutics","Rehovot, HaMerkaz, Israel","1E Therapeutics is a breakthrough, drug development company.","20,071",1,120000000,USD,120000000,120000000,USD,120000000
Kumquat Biosciences,https://www.crunchbase.com/organization/kumquat-biosciences,"Alternative Medicine, Biotechnology, Therapeutics","San Diego, California, United States",Kumquat Biosciences is a biotech company developing therapies to discover oncology medicines.,"20,346",3,70000000,USD,70000000,175922930,USD,175922930
WeSana Health,https://www.crunchbase.com/organization/wesana-health,"Alternative Medicine, Health Care, Therapeutics","Homer Glen, Illinois, United States",WeSana Health is a life sciences company that provides advancement of psilocybin-based medicine.,"21,580",2,16100000,CAD,12813472,16813472,USD,16813472
