Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions
Cybin,https://www.crunchbase.com/organization/cybin-corp,124282882,CAD,94945266,"Biotechnology, Health Care, Pharmaceutical","Toronto, Ontario, Canada",Cybin is a life sciences company dedicated in advancing psychedelic therapeutics with the goal of transforming mental healthcare.,"4,122",Great Lakes
Field Trip Health,https://www.crunchbase.com/organization/field-trip-health-inc,96182474,USD,96182474,"Alternative Medicine, Health Care, Therapeutics, Wellness","Toronto, Ontario, Canada","Field Trip Health, Inc. providing simple, evidence-based therapies for healing and heightening engagement with the world.","4,582",Great Lakes
Synthesis,https://www.crunchbase.com/organization/synthesis-institute,10000000,USD,10000000,"Health Care, Wellness","Amsterdam, Noord-Holland, The Netherlands","Synthesis is a legal, research based psychedelic wellness, steward owned, research and education platform.","12,899",European Union (EU)
Gilgamesh Pharmaceuticals,https://www.crunchbase.com/organization/gilgamesh,29559845,USD,29559845,"Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",Gilgamesh is a pioneering early-stage biotech developing novel compounds that build upon the benefits of classic psychedelics,"15,357","Greater New York Area, East Coast, Northeastern US"
Eleusis,https://www.crunchbase.com/organization/eleusis-benefit,5737224,USD,5737224,"Biotechnology, Health Care, Medical","London, England, United Kingdom",Eleusis is a Clinical stage company established to unlock the therapeutic potential of psychedelics.,"18,098",
Multidisciplinary Association for Psychedelic Studies,https://www.crunchbase.com/organization/maps-2,12979050,USD,12979050,"Association, Cannabis, Non Profit","Santa Cruz, California, United States","MAPS is a non-profit organization that develops medical, legal, and cultural contexts from psychedelics and marijuana.","29,613","San Francisco Bay Area, West Coast, Western US"
Psilera Bioscience,https://www.crunchbase.com/organization/psilera-bioscience,2630000,USD,2630000,"Biotechnology, Life Science, Pharmaceutical","Tampa, Florida, United States",Psilera Bioscience reimagining psychoactive natural products as building blocks for a new generation of mindful medicine.,"47,110","Tampa Bay Area, East Coast, Southern US"
ThreeD Capital,https://www.crunchbase.com/organization/threed-capital-inc,600000,USD,600000,"Internet, Training","Toronto, Ontario, Canada",ThreeD Capital is a publicly- traded Canadian-based venture capital firm,"51,614",Great Lakes
PharmaTher,https://www.crunchbase.com/organization/pharmather-inc,10000000,CAD,7903570,"Biotechnology, Pharmaceutical","Toronto, Ontario, Canada",PharmaTher is a specialty life sciences company focused on the research and development of psychedelic pharmaceuticals.,"55,771",Great Lakes
Delic,https://www.crunchbase.com/organization/delic-78d3,2133146,USD,2133146,"Information Technology, Internet, Marketing","Chicago, Illinois, United States","Delic is a psychedelics corporation that specializes in education, content, and events about psychoactive compounds.","73,422","Greater Chicago Area, Great Lakes, Midwestern US"
