Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Headquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring
Mavrck,https://www.crunchbase.com/organization/mavrck,"Affiliate Marketing, Brand Marketing, Content Creators, Digital Media, Social Media Marketing","Boston, Massachusetts, United States",Mavrck is an influencer marketing platform that helps to identify and activate micro-influencers for enterprise consumer brands.,106,12,135000000,USD,135000000,276427824,USD,276427824,"Greater Boston Area, East Coast, New England",,,Active,2014-11-12,day,,,,,For Profit,http://www.mavrck.co,https://twitter.com/mavrckco,http://www.facebook.com/mavrckco,http://www.linkedin.com/company/mavrck,founders@mavrck.co,,23,,"Mavrck is the all-in-one influencer marketing platform enabling enterprise brands such as P&G, Reebok, and Walgreens to harness the power of social proof that consumers trust today. Marketers use this platform to identify and activate influencers, employees, and consumer advocates to create authentic content at scale. Using its self-service product, marketers take an automated and data-driven approach to influencer marketing.  Founded in 2014, Mavrck is headquartered in Boston, with offices in Denver, has 65 employees, and has raised $20M in venture capital. The platform has been recognized for its superior offering by the Shorty Awards and Retail Innovator Awards, honored as “Best Influencer Marketing Platform” by Digiday, and named to the 2020 Inc. 5000, awarded to America’s fastest-growing private companies. Mavrck was also named a “Leader” among the top emerging influencer marketing platforms in Forrester’s evaluation, The Forrester New Wave™: Influencer Marketing Solutions, 2020. Mavrck's culture of curious hustlers has also been recognized as ""Top Company Cultures Among Small Companies"" by Entrepreneur.",
ShopBack,https://www.crunchbase.com/organization/shopback,"Affiliate Marketing, Coupons, E-Commerce, Internet, Price Comparison, Shopping","Singapore, Central Region, Singapore",ShopBack is a digital loyalty and discovery platform e-commerce company offering a smarter way to shop.,791,7,54000000,SGD,39743872,125843873,USD,125843873,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.shopback.sg,https://twitter.com/shopbacksg,https://www.facebook.com/shopback,https://www.linkedin.com/company/shopback-com,help@shopback.com,(65) 6589-8708,94,,"ShopBack offers a one-stop lifestyle portal that powers smarter purchase decisions for consumers. Today, ShopBack is the dominant player in Southeast Asia’s e-commerce Cashback market, with an established presence in Singapore, Malaysia, Indonesia, the Philippines, Thailand, and Taiwan, powering over 1,000 orders per hour.   ShopBack enhances shopping by providing up to 30% Cashback for consumers to boost their purchasing power while providing cost-effective marketing solutions for merchant partners. With over 1,300 merchant partners, including Uber, Expedia, and Lazada, ShopBack constantly strives to bring a smarter shopping experience to the consumers. In October 2015, ShopBack was awarded the winner of the Gold award in the Best Start-up (Growth Stage) category and Silver award in the Best Innovative Infocomm Products (Consumers) category at the 7th Singapore Infocomm Technology Federation (SiTF) Awards. This is the local start-up’s maiden voyage in industry awards, pitting against more than 300 nominations for the esteemed titles. The company was recently awarded the Emerging Enterprise Award in September 2016, jointly organized by The Business Times (Singapore) and OCBC Bank, which recognizes outstanding small and medium enterprises (SMEs) in Singapore.",
Hotmart,https://www.crunchbase.com/organization/hotmart,"Affiliate Marketing, Digital Marketing, Digital Media, Internet, Software","Amsterdam, Noord-Holland, The Netherlands",Hotmart is a platform that teaches how to create a digital business for those who wish to start their business.,"2,095",5,735000000,BRL,127305793,127496388,USD,127496388,European Union (EU),,$100M to $500M,Active,2011-04-19,day,,,,,For Profit,https://www.hotmart.com/,https://twitter.com/hotmart_en,https://www.facebook.com/hotmartofficial/,https://www.linkedin.com/company/hotmart/,suporte@hotmart.com,,17,Unicorn,"Hotmart is a Content Distribution Platform for digital products. With it, you can sell and deliver digital products such as online courses, ebooks, video, software and others. If you don’t have a digital product to sell you can become affiliated to them, helping promote them and earning commissions for it. Hotmart started operating in 2011 and it has been the market leader in Latin America. Currently, we are expanding our business globally with offices in Spain, Colombia, México and Holland, and preparing to start operations in many other countries, allowing more people, all over the world, to make a living out of their passions.",
Partnerize,https://www.crunchbase.com/organization/partnerize,"Advertising, Affiliate Marketing, Enterprise Software, Internet, Marketing, SaaS, Software","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","Partnerize is the only partnership management solution for marketers seeking high quality, scalable subsidies to primary channels.","8,298",8,50000000,USD,50000000,89500000,USD,89500000,,,Less than $1M,Active,2010-05-01,day,,,,,For Profit,https://partnerize.com,http://twitter.com/partnerize,http://www.facebook.com/Partnerize,https://www.linkedin.com/company/partnerize,info@partnerize.com,+44 (0) 191 261 2444,52,,"Partnerize is the leader in partnership automation. The Partnerize platform is the only of its kind to deliver a fully integrated, comprehensive suite of discovery, recruitment, optimization, payment, brand safety and fraud prevention capabilities for marketers seeking a high transparency, scalable subsidy to alleviate pressure on their unit economics as a result of over dependence on primary sales and marketing channels. Supported by unrivaled service including the category’s only in-housing support program, with Partnerize, you’re in control of the entire partnership marketing lifecycle—all on a single platform. Headquartered in NYC, Partnerize retains offices in Australia, United Kingdom, Japan, San Francisco, Philadelphia and Wilkes-Barre. For more information on how Partnerize helps turn your partnerships into a profit center, please visit https://partnerize.com/en. Partnerize is the trading name of the Performance Horizon group of companies.",
Lumaly,https://www.crunchbase.com/organization/lumaly,"Affiliate Marketing, Browser Extensions, E-Commerce","Berlin, Berlin, Germany",Lumaly is a digital shopping assistant that supports users across their entire shopping journey.,"10,230",4,1100000,EUR,1159806,1159807,USD,1159807,European Union (EU),,,Active,2020-01-01,year,,,,,For Profit,https://lumaly.de/,,https://www.facebook.com/lumalyde/,https://www.linkedin.com/company/lumaly/,felix@lumaly.de,,2,,Lumaly is a digital shopping assistant that supports users across their entire shopping journey - from product discovery & automatic savings to easy checkout for all online shops. Features like BTC cashback and CO2 offset (among many others) offer additional benefits to users.,
TUNE,https://www.crunchbase.com/organization/tune,"Affiliate Marketing, Data Visualization, Marketing, Mobile, SaaS","Seattle, Washington, United States",TUNE builds technology that powers performance marketing partnerships across mobile and web.,"12,006",2,27000000,USD,27000000,36400000,USD,36400000,"Greater Seattle Area, West Coast, Western US",,$50M to $100M,Active,2009-04-01,day,2020-05-20,day,,,For Profit,http://tune.com,http://twitter.com/TUNE,https://www.facebook.com/TUNE/,http://www.linkedin.com/company/TUNE,partnermarketing@tune.com,(206) 508-1318,566,,"TUNE builds technology that powers successful marketing partnerships across mobile and web. The TUNE Partner Marketing Platform is the industry’s most flexible SaaS platform for building, managing, and growing partner programs and networks. Headquartered in Seattle with hundreds of employees worldwide, TUNE is trusted by innovative affiliate marketers, the largest performance advertising networks, and iconic brands across the globe.",Yes
Affise,https://www.crunchbase.com/organization/affise,"Advertising, Affiliate Marketing, Business Intelligence, Enterprise Software, Marketing Automation","Vilnius, Vilniaus Apskritis, Lithuania",Affise is a performance marketing platform for building business partnerships.,"15,494",3,8000000,USD,8000000,9800000,USD,9800000,European Union (EU),,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://affise.com,https://twitter.com/getaffise,https://www.facebook.com/getaffise/,https://www.linkedin.com/company/affise-com,hey@affise.com,+37068403156,14,,"Affise is a Performance Marketing Platform for building powerful business partnerships. Our mission is to solve the complexity in this industry by providing Business intelligence  tools that help our customers to make better decisions based on their data, and automate the routine work",
Savyour,https://www.crunchbase.com/organization/savyour,"Affiliate Marketing, E-Commerce, FinTech","Karachi, Sindh, Pakistan","Pakistan’s first and largest integrated Discovery, Deals & Rewards platform.","20,534",1,3300000,USD,3300000,3300000,USD,3300000,Asia-Pacific (APAC),,,Active,2020-08-01,day,,,,,For Profit,https://savyour.com.pk/,https://twitter.com/savyourofficial,https://www.facebook.com/savyourpk,https://www.linkedin.com/company/savyour,care@savyour.com,0334 7287284,3,,"Savyour is Pakistan’s first cashback platform and pay-per-sale affiliate marketing network. Launched in August 2020, the app has completed nearly 200,000 orders, has over 300 partner brands on board and accumulated over one million users till date. Besides major brands like Daraz, foodpanda, elo and Naheed.pk, Savyour is also enabling smaller businesses to register on the application without any upfront cost and giving them access to a much larger target audience. Consumers also get the opportunity to shop from and allow small/medium businesses to grow and prosper. Cashback is an easy way for consumers to earn cash. They shop as usual and earn a certain percentage of the amount they have spent. What customers save in their Savyour wallet is hard cash, which they can redeem directly into their bank account as soon as they hit a minimum of 200 rupees. They are not bound to spend this amount on the Savyour app only and are free to utilize it as per their own discretion.",
RevLifter,https://www.crunchbase.com/organization/revlifter,"Affiliate Marketing, Artificial Intelligence, Enterprise Software, Marketing Automation, Personalization, Retail Technology","London, England, United Kingdom",RevLifter is an AI powered technology provider helping brands increase revenue through real-time personalised offers.,"20,716",6,3000000,GBP,3979761,9460000,GBP,12447317,,,$1M to $10M,Active,2017-06-16,day,,,,,For Profit,https://www.revlifter.com,https://twitter.com/RevLifter,,https://linkedin.com/company/revlifter,hello@revlifter.com,,18,,"RevLifter personalises deals for retailers across any marketing channel. The platform uses AI to understand real-time signals from users onsite behaviour to deliver the right deal to the right customer at the right time, to achieve the advertiser’s goals.  It works by personalising offers on a retailer’s site and off-site which are designed to deliver incrementally and prevent customers leaving to look for deals on competitors. The platform is uniquely used by each retailer to deliver their specific goals, which often include; more new customers, higher AOV, and conversion rates.  RevLifter is available worldwide, rapid to integrate and paid on performance.",
Flickstree,https://www.crunchbase.com/organization/flickstree-2,"Affiliate Marketing, Artificial Intelligence, Digital Media, Location Based Services, Video, Video on Demand, Video Streaming","Mumbai, Maharashtra, India",Flickstree is a AI-enabled video publisher network that allows the user to engage and monetize their traffic.,"21,381",5,3000000,USD,3000000,5664000,USD,5664000,Asia-Pacific (APAC),,Less than $1M,Active,2014-08-13,day,,,,,For Profit,https://www.flickstree.com,https://twitter.com/flickstree,https://www.facebook.com/flickstree/?fref=ts,https://www.linkedin.com/company/10276703,saurabh@flickstree.com,,5,,"Flickstree creates and aggregates short engaging videos. Publishers (websites and apps) embed Flickstree's video player on their platform, to engage and monetize their traffic, without any investment on part of any Publisher. Videos include entertainment content, performance marketing content and user-generated content. These are all localized in multiple languages. OTT platforms and telecom companies license these videos too. Entertainment videos are monetised through branding campaigns - pre roll and mid roll video ads. Brands use Flickstree's 50Mn+ reach to create Impact at scale and force-multiply their campaign goals. Flickstree's ""Glocal"" publisher network acts as a huge catalyst to achieve brand objectives. Performance marketing videos are monetized through Cost Per Sale (CPS) campaigns - best in industry affiliate commission, achieved on the sale of products across various categories.  Flickstree is backed by Samsung Ventures Investment, SOSV, LionRock Capital, Accretio Investment, Facebook FBStart program and the star cricketer Sourav Ganguly, amongst others.",
